mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator,param_sampler,param_scaler,params,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc,std_train_roc_auc,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,mean_train_accuracy,std_train_accuracy,mean_test_f1,std_test_f1,rank_test_f1,mean_train_f1,std_train_f1,mean_test_recall,std_test_recall,rank_test_recall,mean_train_recall,std_train_recall,mean_test_precision,std_test_precision,rank_test_precision,mean_train_precision,std_train_precision,log_target,transf_feat,features,param_transformer
0.16,0.01,0.14,0.01,LogisticRegression(),RandomUnderSampler(),StandardScaler(),"{'estimator': LogisticRegression(), 'sampler': RandomUnderSampler(), 'scaler': StandardScaler()}",0.74,0.0,2,0.74,0.0,0.68,0.0,12,0.68,0.0,0.25,0.0,2,0.25,0.0,0.67,0.01,3,0.67,0.0,0.15,0.0,10,0.16,0.0,1,0,,
0.3,0.01,0.12,0.01,LogisticRegression(),RandomUnderSampler(),passthrough,"{'estimator': LogisticRegression(), 'sampler': RandomUnderSampler(), 'scaler': 'passthrough'}",0.74,0.0,3,0.74,0.0,0.68,0.0,10,0.68,0.0,0.25,0.0,1,0.25,0.0,0.67,0.01,2,0.67,0.0,0.16,0.0,9,0.16,0.0,1,0,,
0.65,0.04,0.13,0.03,LogisticRegression(),passthrough,StandardScaler(),"{'estimator': LogisticRegression(), 'sampler': 'passthrough', 'scaler': StandardScaler()}",0.74,0.01,5,0.74,0.0,0.92,0.0,2,0.92,0.0,0.02,0.01,13,0.02,0.0,0.01,0.0,13,0.01,0.0,0.48,0.08,2,0.5,0.03,1,0,,
1.32,0.14,0.1,0.01,LogisticRegression(),passthrough,passthrough,"{'estimator': LogisticRegression(), 'sampler': 'passthrough', 'scaler': 'passthrough'}",0.74,0.01,6,0.74,0.0,0.92,0.0,1,0.92,0.0,0.02,0.01,14,0.02,0.0,0.01,0.0,14,0.01,0.0,0.47,0.13,3,0.49,0.04,1,0,,
1.94,0.1,0.63,0.04,RandomForestClassifier(),RandomUnderSampler(),StandardScaler(),"{'estimator': RandomForestClassifier(), 'sampler': RandomUnderSampler(), 'scaler': StandardScaler()}",0.72,0.0,10,0.98,0.0,0.68,0.01,11,0.73,0.0,0.25,0.01,6,0.38,0.0,0.65,0.01,8,1.0,0.0,0.15,0.0,14,0.23,0.0,1,0,,
1.77,0.14,0.62,0.05,RandomForestClassifier(),RandomUnderSampler(),passthrough,"{'estimator': RandomForestClassifier(), 'sampler': RandomUnderSampler(), 'scaler': 'passthrough'}",0.73,0.0,9,0.98,0.0,0.68,0.0,9,0.73,0.01,0.25,0.0,3,0.38,0.0,0.66,0.01,5,1.0,0.0,0.15,0.0,11,0.23,0.0,1,0,,
11.95,0.81,0.75,0.06,RandomForestClassifier(),passthrough,StandardScaler(),"{'estimator': RandomForestClassifier(), 'sampler': 'passthrough', 'scaler': StandardScaler()}",0.71,0.01,15,1.0,0.0,0.92,0.0,5,1.0,0.0,0.01,0.01,15,1.0,0.0,0.01,0.0,15,1.0,0.0,0.38,0.18,8,1.0,0.0,1,0,,
11.71,0.44,0.71,0.06,RandomForestClassifier(),passthrough,passthrough,"{'estimator': RandomForestClassifier(), 'sampler': 'passthrough', 'scaler': 'passthrough'}",0.7,0.0,16,1.0,0.0,0.92,0.0,4,1.0,0.0,0.01,0.0,16,1.0,0.0,0.01,0.0,16,1.0,0.0,0.41,0.07,4,1.0,0.0,1,0,,
3.9,1.47,0.15,0.02,LGBMClassifier(),RandomUnderSampler(),StandardScaler(),"{'estimator': LGBMClassifier(), 'sampler': RandomUnderSampler(), 'scaler': StandardScaler()}",0.73,0.0,8,0.83,0.0,0.68,0.01,14,0.7,0.0,0.25,0.0,5,0.3,0.0,0.66,0.0,4,0.81,0.0,0.15,0.0,13,0.19,0.0,1,0,,
12.92,5.27,0.14,0.05,LGBMClassifier(),RandomUnderSampler(),passthrough,"{'estimator': LGBMClassifier(), 'sampler': RandomUnderSampler(), 'scaler': 'passthrough'}",0.73,0.01,7,0.83,0.0,0.68,0.01,13,0.7,0.0,0.25,0.0,4,0.3,0.0,0.67,0.01,1,0.81,0.01,0.15,0.0,12,0.19,0.0,1,0,,
15.27,2.79,0.17,0.04,LGBMClassifier(),passthrough,StandardScaler(),"{'estimator': LGBMClassifier(), 'sampler': 'passthrough', 'scaler': StandardScaler()}",0.74,0.0,4,0.86,0.0,0.92,0.0,3,0.92,0.0,0.03,0.01,11,0.08,0.01,0.01,0.0,11,0.04,0.0,0.51,0.14,1,0.92,0.03,1,0,,
16.22,3.57,0.15,0.03,LGBMClassifier(),passthrough,passthrough,"{'estimator': LGBMClassifier(), 'sampler': 'passthrough', 'scaler': 'passthrough'}",0.74,0.0,1,0.86,0.0,0.92,0.0,6,0.92,0.0,0.02,0.01,12,0.08,0.01,0.01,0.0,12,0.04,0.0,0.4,0.06,5,0.91,0.02,1,0,,
2.07,0.19,0.2,0.02,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)",RandomUnderSampler(),StandardScaler(),"{'estimator': XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...), 'sampler': RandomUnderSampler(), 'scaler': StandardScaler()}",0.71,0.01,14,0.87,0.0,0.65,0.0,16,0.7,0.01,0.23,0.0,8,0.33,0.0,0.66,0.02,6,0.92,0.01,0.14,0.0,16,0.2,0.0,1,0,,
4.73,2.68,0.14,0.03,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)",RandomUnderSampler(),passthrough,"{'estimator': XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...), 'sampler': RandomUnderSampler(), 'scaler': 'passthrough'}",0.71,0.0,13,0.87,0.0,0.65,0.0,15,0.7,0.0,0.23,0.0,7,0.33,0.0,0.65,0.02,7,0.91,0.01,0.14,0.0,15,0.2,0.0,1,0,,
13.27,0.6,0.16,0.04,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)",passthrough,StandardScaler(),"{'estimator': XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...), 'sampler': 'passthrough', 'scaler': StandardScaler()}",0.72,0.01,12,0.92,0.0,0.92,0.0,7,0.93,0.0,0.06,0.01,9,0.27,0.01,0.03,0.0,9,0.16,0.0,0.4,0.05,6,0.96,0.01,1,0,,
11.69,1.08,0.11,0.01,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)",passthrough,passthrough,"{'estimator': XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...), 'sampler': 'passthrough', 'scaler': 'passthrough'}",0.72,0.01,11,0.92,0.0,0.92,0.0,8,0.93,0.0,0.06,0.01,10,0.27,0.01,0.03,0.0,9,0.16,0.0,0.4,0.05,7,0.96,0.01,1,0,,
0.09,0.01,0.14,0.01,LogisticRegression(),RandomUnderSampler(),StandardScaler(),"{'estimator': LogisticRegression(), 'sampler': RandomUnderSampler(), 'scaler': StandardScaler()}",0.74,0.01,1,0.74,0.0,0.68,0.0,11,0.68,0.0,0.25,0.0,1,0.25,0.0,0.67,0.01,2,0.67,0.0,0.16,0.0,8,0.16,0.0,0,0,,
0.14,0.01,0.16,0.03,LogisticRegression(),RandomUnderSampler(),passthrough,"{'estimator': LogisticRegression(), 'sampler': RandomUnderSampler(), 'scaler': 'passthrough'}",0.54,0.01,16,0.54,0.0,0.55,0.05,16,0.55,0.05,0.16,0.0,8,0.16,0.0,0.52,0.05,8,0.52,0.05,0.09,0.0,15,0.09,0.0,0,0,,
0.77,0.06,0.16,0.01,LogisticRegression(),passthrough,StandardScaler(),"{'estimator': LogisticRegression(), 'sampler': 'passthrough', 'scaler': StandardScaler()}",0.73,0.01,2,0.74,0.0,0.92,0.0,1,0.92,0.0,0.02,0.01,13,0.02,0.0,0.01,0.0,13,0.01,0.0,0.49,0.1,1,0.5,0.03,0,0,,
1.13,0.1,0.16,0.02,LogisticRegression(),passthrough,passthrough,"{'estimator': LogisticRegression(), 'sampler': 'passthrough', 'scaler': 'passthrough'}",0.59,0.01,15,0.59,0.0,0.92,0.0,2,0.92,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,16,0.0,0.0,0,0,,
2.95,0.15,0.96,0.12,RandomForestClassifier(),RandomUnderSampler(),StandardScaler(),"{'estimator': RandomForestClassifier(), 'sampler': RandomUnderSampler(), 'scaler': StandardScaler()}",0.72,0.01,7,0.98,0.0,0.68,0.01,10,0.73,0.0,0.25,0.0,5,0.38,0.0,0.65,0.01,6,1.0,0.0,0.15,0.0,12,0.23,0.0,0,0,,
2.88,0.18,1.04,0.17,RandomForestClassifier(),RandomUnderSampler(),passthrough,"{'estimator': RandomForestClassifier(), 'sampler': RandomUnderSampler(), 'scaler': 'passthrough'}",0.72,0.0,10,0.98,0.0,0.68,0.0,9,0.74,0.0,0.25,0.0,4,0.38,0.0,0.65,0.0,7,1.0,0.0,0.15,0.0,11,0.23,0.0,0,0,,
19.05,1.66,1.39,0.23,RandomForestClassifier(),passthrough,StandardScaler(),"{'estimator': RandomForestClassifier(), 'sampler': 'passthrough', 'scaler': StandardScaler()}",0.71,0.0,13,1.0,0.0,0.92,0.0,3,1.0,0.0,0.01,0.01,15,1.0,0.0,0.01,0.0,15,1.0,0.0,0.39,0.21,5,1.0,0.0,0,0,,
16.34,2.19,1.04,0.25,RandomForestClassifier(),passthrough,passthrough,"{'estimator': RandomForestClassifier(), 'sampler': 'passthrough', 'scaler': 'passthrough'}",0.7,0.0,14,1.0,0.0,0.92,0.0,4,1.0,0.0,0.01,0.0,14,1.0,0.0,0.01,0.0,14,1.0,0.0,0.44,0.1,3,1.0,0.0,0,0,,
21.12,0.29,0.15,0.03,LGBMClassifier(),RandomUnderSampler(),StandardScaler(),"{'estimator': LGBMClassifier(), 'sampler': RandomUnderSampler(), 'scaler': StandardScaler()}",0.73,0.0,6,0.83,0.0,0.68,0.01,13,0.7,0.01,0.25,0.01,3,0.3,0.0,0.67,0.01,3,0.81,0.01,0.15,0.0,10,0.19,0.0,0,0,,
9.54,7.33,0.11,0.01,LGBMClassifier(),RandomUnderSampler(),passthrough,"{'estimator': LGBMClassifier(), 'sampler': RandomUnderSampler(), 'scaler': 'passthrough'}",0.73,0.01,5,0.83,0.0,0.68,0.01,12,0.7,0.0,0.25,0.01,2,0.3,0.0,0.67,0.01,1,0.81,0.0,0.15,0.0,9,0.19,0.0,0,0,,
7.58,5.18,0.12,0.02,LGBMClassifier(),passthrough,StandardScaler(),"{'estimator': LGBMClassifier(), 'sampler': 'passthrough', 'scaler': StandardScaler()}",0.73,0.01,4,0.86,0.0,0.92,0.0,6,0.92,0.0,0.03,0.0,12,0.08,0.01,0.01,0.0,12,0.04,0.0,0.44,0.1,2,0.91,0.03,0,0,,
17.41,0.27,0.12,0.01,LGBMClassifier(),passthrough,passthrough,"{'estimator': LGBMClassifier(), 'sampler': 'passthrough', 'scaler': 'passthrough'}",0.73,0.01,3,0.86,0.0,0.92,0.0,5,0.92,0.0,0.03,0.01,11,0.08,0.01,0.01,0.0,11,0.04,0.0,0.44,0.09,4,0.91,0.03,0,0,,
3.16,0.32,0.11,0.02,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)",RandomUnderSampler(),StandardScaler(),"{'estimator': XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...), 'sampler': RandomUnderSampler(), 'scaler': StandardScaler()}",0.71,0.01,12,0.87,0.0,0.66,0.0,14,0.7,0.0,0.23,0.0,7,0.33,0.0,0.65,0.01,5,0.91,0.0,0.14,0.0,14,0.2,0.0,0,0,,
4.31,0.81,0.1,0.01,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)",RandomUnderSampler(),passthrough,"{'estimator': XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...), 'sampler': RandomUnderSampler(), 'scaler': 'passthrough'}",0.71,0.0,11,0.87,0.0,0.66,0.0,15,0.7,0.0,0.23,0.0,6,0.33,0.0,0.65,0.01,4,0.92,0.01,0.14,0.0,13,0.2,0.0,0,0,,
10.07,0.21,0.13,0.02,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)",passthrough,StandardScaler(),"{'estimator': XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...), 'sampler': 'passthrough', 'scaler': StandardScaler()}",0.72,0.0,9,0.92,0.0,0.92,0.0,7,0.93,0.0,0.06,0.01,9,0.27,0.01,0.03,0.0,9,0.15,0.0,0.39,0.06,6,0.96,0.01,0,0,,
9.89,0.36,0.12,0.02,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)",passthrough,passthrough,"{'estimator': XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...), 'sampler': 'passthrough', 'scaler': 'passthrough'}",0.72,0.0,8,0.92,0.0,0.92,0.0,8,0.93,0.0,0.06,0.01,10,0.27,0.01,0.03,0.0,9,0.15,0.0,0.39,0.06,7,0.96,0.01,0,0,,
0.05,0.01,0.07,0.01,LogisticRegression(),RandomUnderSampler(),StandardScaler(),"{'estimator': LogisticRegression(), 'sampler': RandomUnderSampler(), 'scaler': StandardScaler()}",0.74,0.01,3,0.74,0.0,0.68,0.0,12,0.68,0.0,0.25,0.0,1,0.25,0.0,0.67,0.01,1,0.67,0.0,0.15,0.0,9,0.15,0.0,1,0,,
0.21,0.04,0.1,0.01,LogisticRegression(),RandomUnderSampler(),passthrough,"{'estimator': LogisticRegression(), 'sampler': RandomUnderSampler(), 'scaler': 'passthrough'}",0.74,0.01,4,0.74,0.0,0.68,0.0,11,0.68,0.0,0.25,0.0,2,0.25,0.0,0.66,0.01,2,0.67,0.0,0.15,0.0,10,0.15,0.0,1,0,,
0.34,0.03,0.09,0.02,LogisticRegression(),passthrough,StandardScaler(),"{'estimator': LogisticRegression(), 'sampler': 'passthrough', 'scaler': StandardScaler()}",0.74,0.01,5,0.74,0.0,0.92,0.0,2,0.92,0.0,0.02,0.01,15,0.01,0.0,0.01,0.0,15,0.01,0.0,0.47,0.08,1,0.47,0.01,1,0,,
0.97,0.07,0.06,0.01,LogisticRegression(),passthrough,passthrough,"{'estimator': LogisticRegression(), 'sampler': 'passthrough', 'scaler': 'passthrough'}",0.73,0.01,6,0.74,0.0,0.92,0.0,1,0.92,0.0,0.02,0.01,16,0.01,0.0,0.01,0.0,16,0.01,0.0,0.45,0.11,4,0.5,0.03,1,0,,
1.75,0.12,0.59,0.02,RandomForestClassifier(),RandomUnderSampler(),StandardScaler(),"{'estimator': RandomForestClassifier(), 'sampler': RandomUnderSampler(), 'scaler': StandardScaler()}",0.72,0.01,9,0.98,0.0,0.68,0.01,10,0.73,0.0,0.25,0.01,6,0.38,0.0,0.65,0.01,6,1.0,0.0,0.15,0.0,12,0.23,0.0,1,0,,
1.73,0.09,0.6,0.01,RandomForestClassifier(),RandomUnderSampler(),passthrough,"{'estimator': RandomForestClassifier(), 'sampler': RandomUnderSampler(), 'scaler': 'passthrough'}",0.72,0.0,12,0.98,0.0,0.68,0.0,9,0.73,0.0,0.25,0.0,3,0.38,0.0,0.66,0.01,5,1.0,0.0,0.15,0.0,11,0.23,0.0,1,0,,
11.32,0.26,0.69,0.05,RandomForestClassifier(),passthrough,StandardScaler(),"{'estimator': RandomForestClassifier(), 'sampler': 'passthrough', 'scaler': StandardScaler()}",0.71,0.01,15,1.0,0.0,0.92,0.0,5,1.0,0.0,0.02,0.01,13,1.0,0.0,0.01,0.0,14,1.0,0.0,0.42,0.11,6,1.0,0.0,1,0,,
11.26,0.7,0.68,0.03,RandomForestClassifier(),passthrough,passthrough,"{'estimator': RandomForestClassifier(), 'sampler': 'passthrough', 'scaler': 'passthrough'}",0.71,0.01,16,1.0,0.0,0.92,0.0,3,1.0,0.0,0.02,0.01,14,1.0,0.0,0.01,0.0,13,1.0,0.0,0.45,0.07,5,1.0,0.0,1,0,,
2.2,0.53,0.15,0.05,LGBMClassifier(),RandomUnderSampler(),StandardScaler(),"{'estimator': LGBMClassifier(), 'sampler': RandomUnderSampler(), 'scaler': StandardScaler()}",0.73,0.01,7,0.83,0.0,0.67,0.01,14,0.7,0.0,0.25,0.01,5,0.3,0.0,0.66,0.01,3,0.81,0.01,0.15,0.0,14,0.19,0.0,1,0,,
